stimulus_picture,words,sentences,nodes,edges,unconnected,average_total_degree,parallel_edges,bidirectional_edges,lsc,lcc,L1,L2,L3,sizes_connected_components,cc_size_mean,cc_size_med,cc_size_sd,cc_size_max,connected_components,max_degree_centrality,max_degree_node,max_indegree_centrality,max_outdegree_centrality,max_indegree_centrality_value,max_outdegree_centrality_value,mean_sentence_length,mean_confidence,std_confidence,density,diameter,average_shortest_path,clustering,consecutive_edges
13,133,7,17,22,0,2.588235294117647,0,4,2,17,2,1,0,[17],17.0,17.0,0.0,17,1,0.4375,man,"('man', 0.1875)","('ehm', 0.375)",0.1875,0.375,19.0,0.459965731389064,0.1996372504386786,0.15441176470588236,4,2.7058823529411766,0.10588235294117646,11
24,112,11,24,16,5,1.3333333333333333,0,2,2,4,0,1,0,"[4, 4, 3, 3, 2, 2, 2, 2, 2]",2.6666666666666665,2.0,0.816496580927726,4,9,0.17391304347826086,he,"('he', 0.08695652173913043)","('it', 0.13043478260869565)",0.08695652173913043,0.13043478260869565,10.181818181818182,0.37828297080120526,0.20064403787791618,0.05434782608695652,2,1.5,0.0,0
30,122,8,11,12,2,2.1818181818181817,0,3,2,9,1,1,0,"[9, 2]",5.5,5.5,3.5,9,2,0.8,man,"('image', 0.30000000000000004)","('man', 0.6000000000000001)",0.30000000000000004,0.6000000000000001,15.25,0.5725151302199427,0.23790705207357926,0.2,3,2.0555555555555554,0.0,5
10,127,9,22,20,3,1.8181818181818181,0,0,1,15,0,0,0,"[15, 3, 2, 2]",5.5,2.5,5.5,15,4,0.19047619047619047,girl,"('position', 0.14285714285714285)","('it', 0.19047619047619047)",0.14285714285714285,0.19047619047619047,14.11111111111111,0.6108528074778559,0.24419857410334636,0.08658008658008658,7,3.2,0.1,2
13,142,9,23,20,3,1.7391304347826086,0,0,1,18,0,0,0,"[18, 3, 2]",7.666666666666667,3.0,7.318166133366716,18,3,0.5,soldiers,"('soldiers', 0.18181818181818182)","('soldiers', 0.3181818181818182)",0.18181818181818182,0.3181818181818182,15.777777777777779,0.5159908703637042,0.26975388148670165,0.07905138339920949,5,2.4444444444444446,0.0,8
30,174,9,26,29,3,2.230769230769231,1,4,2,20,2,1,0,"[20, 2, 2, 2]",6.5,2.0,7.794228634059948,20,4,0.44,image,"('image', 0.24)","('image', 0.2)",0.24,0.2,19.333333333333332,0.4521275837518294,0.28338756196999737,0.08307692307692308,4,2.721052631578947,0.0,10
10,87,7,13,15,2,2.3076923076923075,2,1,2,7,1,1,0,"[7, 6]",6.5,6.5,0.5,7,2,0.41666666666666663,girl,"('cough', 0.25)","('girl', 0.25)",0.25,0.25,12.428571428571429,0.38405013213821687,0.2594598292135245,0.15384615384615385,4,2.2857142857142856,0.0,2
24,88,3,18,18,4,2.0,0,1,3,10,1,0,1,"[10, 8]",9.0,9.0,1.0,10,2,0.47058823529411764,picture,"('picture', 0.1764705882352941)","('picture', 0.29411764705882354)",0.1764705882352941,0.29411764705882354,29.333333333333332,0.4921699834006702,0.1575852266690855,0.11764705882352941,4,2.2666666666666666,0.0,4
13,80,7,10,13,1,2.6,1,2,1,10,3,0,0,[10],10.0,10.0,0.0,10,1,0.7777777777777777,other,"('other', 0.4444444444444444)","('man', 0.3333333333333333)",0.4444444444444444,0.3333333333333333,11.428571428571429,0.3854981823188933,0.20486397778851567,0.26666666666666666,5,2.577777777777778,0.08333333333333333,5
10,9,4,3,2,1,1.3333333333333333,0,0,1,3,0,0,0,[3],3.0,3.0,0.0,3,1,1.0,old,"('old', 0.5)","('old', 0.5)",0.5,0.5,2.25,0.8310207140415478,0.0,0.6666666666666666,2,1.3333333333333333,0.0,0
30,28,4,7,5,0,1.4285714285714286,0,0,1,5,0,0,0,"[5, 2]",3.5,3.5,1.5,5,2,0.5,it,"('man', 0.16666666666666666)","('it', 0.5)",0.16666666666666666,0.5,7.0,0.3330352393154432,0.12693508547952376,0.23809523809523808,3,1.8,0.0,2
10,138,10,25,27,1,2.16,0,2,4,21,0,1,1,"[21, 2, 2]",8.333333333333334,2.0,8.9566858950296,21,3,0.41666666666666663,girl,"('girl', 0.16666666666666666)","('it', 0.3333333333333333)",0.16666666666666666,0.3333333333333333,13.8,0.48275218139438214,0.2553064306583729,0.08666666666666667,5,2.5619047619047617,0.06613756613756615,11
10,114,7,15,15,5,2.0,2,1,1,11,2,0,0,"[11, 2, 2]",5.0,2.0,4.242640687119285,11,3,1.0,it,"('it', 0.2857142857142857)","('it', 0.7142857142857142)",0.2857142857142857,0.7142857142857142,16.285714285714285,0.4150070478789712,0.13587092416067914,0.12380952380952381,3,1.9636363636363636,0.0,8
24,139,8,24,18,4,1.5,0,0,1,7,0,0,0,"[7, 5, 4, 3, 3, 2]",4.0,3.5,1.632993161855452,7,6,0.2608695652173913,it,"('he', 0.08695652173913043)","('it', 0.2608695652173913)",0.08695652173913043,0.2608695652173913,17.375,0.49773041009115154,0.1981453987521452,0.06521739130434782,2,1.7142857142857142,0.0,5
30,36,6,13,10,1,1.5384615384615385,0,1,1,4,1,0,0,"[4, 4, 3, 2]",3.25,3.5,0.82915619758885,4,4,0.41666666666666663,i,"('under', 0.08333333333333333)","('i', 0.3333333333333333)",0.08333333333333333,0.3333333333333333,6.0,0.42467822457897925,0.14717357934195321,0.1282051282051282,2,1.5,0.0,3
10,150,7,23,16,11,1.391304347826087,0,0,1,6,0,0,0,"[6, 5, 3, 3, 2, 2, 2]",3.2857142857142856,3.0,1.4846149779161804,6,7,0.2272727272727273,picture,"('sort', 0.045454545454545456)","('picture', 0.18181818181818182)",0.045454545454545456,0.18181818181818182,21.428571428571427,0.6567977422742834,0.2445336807419734,0.06324110671936758,2,1.6666666666666667,0.0,4
24,141,7,19,17,9,1.7894736842105263,1,1,1,6,1,0,0,"[6, 4, 3, 2, 2, 2]",3.1666666666666665,2.5,1.4624940645653537,6,6,0.2777777777777778,image,"('person', 0.16666666666666666)","('it', 0.2777777777777778)",0.16666666666666666,0.2777777777777778,20.142857142857142,0.5724951136601186,0.1576859128213461,0.08771929824561403,4,1.9333333333333333,0.27777777777777773,6
13,75,5,15,14,2,1.8666666666666667,0,0,1,10,0,0,0,"[10, 3, 2]",5.0,3.0,3.559026084010437,10,3,0.2857142857142857,i,"('people', 0.2857142857142857)","('i', 0.2857142857142857)",0.2857142857142857,0.2857142857142857,15.0,0.546837878322677,0.1922765800284332,0.13333333333333333,6,2.5555555555555554,0.0,2
24,89,7,21,18,1,1.7142857142857142,0,1,1,10,1,0,0,"[10, 5, 4, 2]",5.25,4.5,2.947456530637899,10,4,0.25,figure,"('figure', 0.1)","('figure', 0.15000000000000002)",0.1,0.15000000000000002,12.714285714285714,0.5402941485652346,0.22691346497910442,0.08571428571428572,7,3.1555555555555554,0.0,3
10,127,9,16,17,5,2.125,2,3,2,7,1,2,0,"[7, 5, 2, 2]",4.0,3.5,2.1213203435596424,7,4,0.5333333333333333,it,"('it', 0.2)","('it', 0.3333333333333333)",0.2,0.3333333333333333,14.11111111111111,0.4518262047121328,0.22653629064865072,0.10833333333333334,4,2.1904761904761907,0.0,3
10,50,5,9,8,3,1.7777777777777777,1,0,1,5,0,0,0,"[5, 4]",4.5,4.5,0.5,5,2,0.5,lady,"('baby', 0.25)","('lady', 0.375)",0.25,0.375,10.0,0.4997729511317521,0.21888382362716752,0.19444444444444445,3,1.8,0.0,2
30,48,7,9,9,3,2.0,1,0,1,9,0,0,0,[9],9.0,9.0,0.0,9,1,0.625,i,"('tree', 0.25)","('i', 0.625)",0.25,0.625,6.857142857142857,0.47370182571795394,0.16414080987976087,0.2222222222222222,4,2.388888888888889,0.0,2
13,121,9,19,17,4,1.7894736842105263,0,0,1,13,0,0,0,"[13, 4, 2]",6.333333333333333,4.0,4.784233364802441,13,3,0.2777777777777778,man,"('man', 0.16666666666666666)","('he', 0.16666666666666666)",0.16666666666666666,0.16666666666666666,13.444444444444445,0.41697820223935983,0.12951414218192786,0.09941520467836257,4,2.551282051282051,0.16153846153846155,0
13,135,14,19,15,5,1.5789473684210527,1,0,1,7,0,0,0,"[7, 6, 2, 2, 2]",3.8,2.0,2.2271057451320084,7,5,0.3333333333333333,they,"('army', 0.1111111111111111)","('they', 0.3333333333333333)",0.1111111111111111,0.3333333333333333,9.642857142857142,0.5337639568148638,0.1142367971812188,0.08187134502923976,5,2.4761904761904763,0.0,3
30,124,12,18,18,3,2.0,1,1,1,14,1,0,0,"[14, 4]",9.0,9.0,5.0,14,2,0.4117647058823529,it,"('streetlamp', 0.11764705882352941)","('it', 0.29411764705882354)",0.11764705882352941,0.29411764705882354,10.333333333333334,0.3909360558934643,0.13674918209009596,0.1111111111111111,7,3.131868131868132,0.0,6
10,171,8,30,26,5,1.7333333333333334,0,5,2,10,1,2,0,"[10, 8, 3, 3, 2, 2, 2]",4.285714285714286,3.0,3.0572763655760995,10,7,0.27586206896551724,she,"('she', 0.10344827586206896)","('she', 0.1724137931034483)",0.10344827586206896,0.1724137931034483,21.375,0.45215774244271145,0.19100096598242075,0.05517241379310345,4,2.111111111111111,0.0,6
24,134,6,21,18,2,1.7142857142857142,0,2,2,12,0,1,0,"[12, 4, 3, 2]",5.25,3.5,3.960744879438715,12,4,0.4,it,"('it', 0.15000000000000002)","('it', 0.25)",0.15000000000000002,0.25,22.333333333333332,0.3256818472266758,0.17747055323225644,0.08095238095238096,4,2.212121212121212,0.0,5
30,162,9,17,19,6,2.235294117647059,2,1,1,15,1,0,0,"[15, 2]",8.5,8.5,6.5,15,2,0.5,my,"('picture', 0.1875)","('my', 0.375)",0.1875,0.375,18.0,0.3746539797781689,0.18396687257157754,0.125,5,2.6476190476190475,0.0,9
24,142,9,22,21,1,1.9090909090909092,1,2,1,12,3,0,0,"[12, 6, 2, 2]",5.5,4.0,4.092676385936225,12,4,0.38095238095238093,dark,"('dark', 0.19047619047619047)","('i', 0.19047619047619047)",0.19047619047619047,0.19047619047619047,15.777777777777779,0.3986580272340206,0.1550132177258434,0.08658008658008658,6,2.727272727272727,0.0,5
