stimulus_picture,words,sentences,nodes,edges,unconnected,average_total_degree,parallel_edges,bidirectional_edges,lsc,lcc,L1,L2,L3,sizes_connected_components,cc_size_mean,cc_size_med,cc_size_sd,cc_size_max,connected_components,max_degree_centrality,max_degree_node,max_indegree_centrality,max_outdegree_centrality,max_indegree_centrality_value,max_outdegree_centrality_value,mean_sentence_length,mean_confidence,std_confidence,density,diameter,average_shortest_path,clustering,consecutive_edges
30,73,6,10,8,2,1.6,0,0,1,6,0,0,0,"[6, 2, 2]",3.3333333333333335,2.0,1.8856180831641267,6,3,0.4444444444444444,image,"('image', 0.3333333333333333)","('i', 0.2222222222222222)",0.3333333333333333,0.2222222222222222,12.166666666666666,0.5523839586930448,0.28773765711182325,0.17777777777777778,3,1.8,0.36111111111111116,0
13,25,2,9,8,0,1.7777777777777777,0,0,1,9,0,0,0,[9],9.0,9.0,0.0,9,1,1.0,people,"('people', 0.375)","('people', 0.625)",0.375,0.625,12.5,0.628938217817952,0.1993174200525498,0.2222222222222222,2,1.7777777777777777,0.0,4
24,28,2,7,5,0,1.4285714285714286,0,1,1,3,1,0,0,"[3, 2, 2]",2.3333333333333335,2.0,0.4714045207910317,3,3,0.5,it,"('person', 0.16666666666666666)","('it', 0.3333333333333333)",0.16666666666666666,0.3333333333333333,14.0,0.5185644792528601,0.22797160948428458,0.23809523809523808,2,1.3333333333333333,0.0,0
30,95,5,18,17,3,1.8888888888888888,0,0,1,11,0,0,0,"[11, 5, 2]",6.0,5.0,3.7416573867739413,11,3,0.3529411764705882,man,"('man', 0.23529411764705882)","('image', 0.11764705882352941)",0.23529411764705882,0.11764705882352941,19.0,0.3417880843212545,0.13271895485513557,0.1111111111111111,5,2.6,0.18787878787878787,0
30,66,9,13,10,5,1.5384615384615385,0,0,1,6,0,0,0,"[6, 3, 2, 2]",3.25,2.5,1.6393596310755,6,4,0.25,i,"('guy', 0.25)","('i', 0.25)",0.25,0.25,7.333333333333333,0.42580812977629956,0.05862849387714839,0.1282051282051282,4,1.9333333333333333,0.27777777777777773,1
10,97,7,13,11,6,1.6923076923076923,0,2,2,5,0,1,0,"[5, 5, 3]",4.333333333333333,5.0,0.9428090415820634,5,3,0.25,girl,"('doll', 0.16666666666666666)","('i', 0.16666666666666666)",0.16666666666666666,0.16666666666666666,13.857142857142858,0.5102844706419887,0.18876220246600864,0.1282051282051282,3,1.8,0.0,0
24,108,10,17,15,2,1.7647058823529411,1,0,2,10,0,1,0,"[10, 3, 2, 2]",4.25,2.5,3.344772040064913,10,4,0.375,it,"('it', 0.125)","('it', 0.25)",0.125,0.25,10.8,0.4119243150718394,0.24234056963473052,0.09558823529411764,7,2.977777777777778,0.0,2
13,88,8,14,16,1,2.2857142857142856,0,3,2,12,1,1,0,"[12, 2]",7.0,7.0,5.0,12,2,0.6923076923076923,it,"('it', 0.23076923076923078)","('it', 0.46153846153846156)",0.23076923076923078,0.46153846153846156,11.0,0.4492789246982007,0.22383577609165356,0.16483516483516483,5,2.5757575757575757,0.11666666666666665,3
24,111,7,26,23,3,1.7692307692307692,1,0,1,19,0,0,0,"[19, 3, 2, 2]",6.5,2.5,7.22841614740048,19,4,0.2,it,"('painting', 0.12)","('it', 0.2)",0.12,0.2,15.857142857142858,0.47231367898554727,0.19432476894123274,0.06769230769230769,9,3.7076023391812867,0.0,5
10,114,6,16,19,1,2.375,1,1,2,16,1,1,0,[16],16.0,16.0,0.0,16,1,0.4666666666666667,person,"('colour', 0.26666666666666666)","('person', 0.4)",0.26666666666666666,0.4,19.0,0.5541231411967377,0.2498961403986406,0.14166666666666666,6,3.0166666666666666,0.0,9
13,122,10,20,20,2,2.0,2,2,1,14,2,0,0,"[14, 2, 2, 2]",5.0,2.0,5.196152422706632,14,4,0.42105263157894735,they,"('they', 0.21052631578947367)","('i', 0.3157894736842105)",0.21052631578947367,0.3157894736842105,12.2,0.4461088118269379,0.17489774184477427,0.09473684210526316,6,2.967032967032967,0.0,6
24,104,6,24,19,2,1.5833333333333333,1,0,1,11,0,0,0,"[11, 3, 3, 3, 2, 2]",4.0,3.0,3.1622776601683795,11,6,0.21739130434782608,person,"('tombstone', 0.13043478260869565)","('person', 0.13043478260869565)",0.13043478260869565,0.13043478260869565,17.333333333333332,0.7623527933159617,0.23101576745391464,0.06521739130434782,6,2.981818181818182,0.0,3
30,121,8,23,21,0,1.826086956521739,1,0,1,19,0,0,0,"[19, 2, 2]",7.666666666666667,2.0,8.013876853447538,19,3,0.2727272727272727,man,"('light', 0.09090909090909091)","('man', 0.18181818181818182)",0.09090909090909091,0.18181818181818182,15.125,0.4950147746339768,0.24024986862656342,0.07905138339920949,8,3.754385964912281,0.0,4
10,131,7,20,22,1,2.2,0,0,1,14,0,0,0,"[14, 4, 2]",6.666666666666667,4.0,5.2493385826745405,14,3,0.3157894736842105,it,"('something', 0.15789473684210525)","('it', 0.2631578947368421)",0.15789473684210525,0.2631578947368421,18.714285714285715,0.4629935485623439,0.2095972449261493,0.11578947368421053,4,2.3076923076923075,0.03333333333333333,7
13,98,8,21,22,2,2.0952380952380953,2,1,1,14,1,0,0,"[14, 5, 2]",7.0,5.0,5.0990195135927845,14,3,0.65,it,"('it', 0.15000000000000002)","('it', 0.5)",0.15000000000000002,0.5,12.25,0.3021529942163527,0.2065051554987652,0.09523809523809523,3,2.043956043956044,0.08463203463203463,10
30,107,13,19,15,4,1.5789473684210527,0,1,1,8,1,0,0,"[8, 4, 3, 2, 2]",3.8,3.0,2.2271057451320084,8,5,0.38888888888888884,it,"('it', 0.1111111111111111)","('it', 0.2777777777777778)",0.1111111111111111,0.2777777777777778,8.23076923076923,0.45526257010078214,0.2263258330791109,0.08771929824561403,4,2.107142857142857,0.0,4
10,78,10,12,9,3,1.5,0,1,1,5,1,0,0,"[5, 3, 2, 2]",3.0,2.5,1.224744871391589,5,4,0.36363636363636365,i,"('baby', 0.18181818181818182)","('i', 0.2727272727272727)",0.18181818181818182,0.2727272727272727,7.8,0.43795121460562464,0.22580579869287182,0.13636363636363635,3,1.8,0.0,0
10,115,2,15,17,0,2.2666666666666666,0,2,2,15,0,1,0,[15],15.0,15.0,0.0,15,1,0.42857142857142855,she,"('baby', 0.2857142857142857)","('i', 0.2857142857142857)",0.2857142857142857,0.2857142857142857,57.5,0.4177749113657924,0.22609565487527053,0.1523809523809524,5,2.8285714285714287,0.10444444444444444,7
10,60,5,16,10,2,1.25,0,0,1,5,0,0,0,"[5, 3, 2, 2, 2, 2]",2.6666666666666665,2.0,1.1055415967851334,5,6,0.2,olden,"('olden', 0.2)","('the girls', 0.13333333333333333)",0.2,0.13333333333333333,12.0,0.7056600043603115,0.14019775138883106,0.08333333333333333,3,1.8,0.0,0
13,84,6,13,13,4,2.0,1,1,1,9,2,0,0,"[9, 4]",6.5,6.5,2.5,9,2,0.75,these,"('these', 0.25)","('these', 0.5)",0.25,0.5,14.0,0.42284359990737586,0.13473296727589792,0.15384615384615385,4,2.2222222222222223,0.0,6
24,59,7,14,12,2,1.7142857142857142,0,0,1,10,0,0,0,"[10, 4]",7.0,7.0,3.0,10,2,0.3076923076923077,this,"('photo', 0.15384615384615385)","('this', 0.3076923076923077)",0.15384615384615385,0.3076923076923077,8.428571428571429,0.5405905560881676,0.17301473380110738,0.13186813186813187,4,2.533333333333333,0.0,2
30,92,9,12,8,1,1.3333333333333333,0,0,1,5,0,0,0,"[5, 3, 2, 2]",3.0,2.5,1.224744871391589,5,4,0.2727272727272727,man,"('bit', 0.18181818181818182)","('you', 0.18181818181818182)",0.18181818181818182,0.18181818181818182,10.222222222222221,0.45568232798937336,0.15645546354150766,0.12121212121212122,3,1.8,0.0,0
10,117,5,16,15,3,1.875,0,2,2,12,0,1,0,"[12, 2, 2]",5.333333333333333,2.0,4.714045207910317,12,3,0.3333333333333333,girl,"('image', 0.2)","('girl', 0.2)",0.2,0.2,23.4,0.6356574821717529,0.24829562208039851,0.11666666666666667,6,2.909090909090909,0.1111111111111111,
